modality,model,fold,agg_method,accuracy,precision,recall,f1
eye,SVM_RBF,1,majority,47.22,49.9,47.71,44.63
eye,SVM_RBF,1,proba_avg,48.61,49.2,49.05,46.39
eye,RandomForest,1,majority,46.76,47.06,46.66,44.79
eye,RandomForest,1,proba_avg,46.76,46.87,46.66,44.77
eye,LDA,1,majority,39.81,42.05,39.35,36.54
eye,LDA,1,proba_avg,40.28,42.49,39.87,37.06
eye,kNN,1,majority,37.5,38.0,37.33,37.42
eye,kNN,1,proba_avg,37.04,37.57,36.89,36.98
eye,SVM_RBF,2,majority,38.43,39.47,38.43,37.53
eye,SVM_RBF,2,proba_avg,40.28,41.69,40.29,38.61
eye,RandomForest,2,majority,41.67,45.82,41.53,40.63
eye,RandomForest,2,proba_avg,42.59,47.21,42.49,41.56
eye,LDA,2,majority,46.76,48.94,46.44,46.32
eye,LDA,2,proba_avg,47.22,49.45,46.88,46.86
eye,kNN,2,majority,34.26,33.79,34.36,32.87
eye,kNN,2,proba_avg,34.26,33.57,34.36,32.87
eye,SVM_RBF,3,majority,50.46,51.16,50.64,50.45
eye,SVM_RBF,3,proba_avg,50.0,50.96,50.27,49.85
eye,RandomForest,3,majority,45.83,46.38,45.6,45.62
eye,RandomForest,3,proba_avg,45.83,46.78,45.6,45.62
eye,LDA,3,majority,44.91,48.97,44.92,44.95
eye,LDA,3,proba_avg,44.44,48.12,44.4,44.42
eye,kNN,3,majority,47.69,48.89,47.87,47.67
eye,kNN,3,proba_avg,47.69,48.89,47.87,47.67
eye,SVM_RBF,4,majority,41.2,41.41,41.27,41.21
eye,SVM_RBF,4,proba_avg,40.28,40.98,40.2,40.34
eye,RandomForest,4,majority,45.37,44.99,45.82,44.84
eye,RandomForest,4,proba_avg,43.98,43.71,44.4,43.42
eye,LDA,4,majority,43.98,45.42,44.57,43.72
eye,LDA,4,proba_avg,43.98,45.3,44.57,43.71
eye,kNN,4,majority,35.65,35.72,36.17,35.52
eye,kNN,4,proba_avg,35.65,35.72,36.17,35.52
eye,SVM_RBF,5,majority,45.83,46.14,45.25,45.1
eye,SVM_RBF,5,proba_avg,43.75,44.55,43.19,42.74
eye,RandomForest,5,majority,42.36,42.41,42.1,41.78
eye,RandomForest,5,proba_avg,41.67,41.77,41.4,41.18
eye,LDA,5,majority,40.28,40.66,39.77,39.66
eye,LDA,5,proba_avg,39.58,40.24,39.11,38.97
eye,kNN,5,majority,37.5,37.86,37.05,36.93
eye,kNN,5,proba_avg,38.19,38.62,37.83,37.7
